perish|죽다; 소멸하다
persist|계속 ~하다, 고집하다; 지속하다
dismiss|해고하다; 묵살하다; 해산시키다
subscribe|(신문 등을) 구독하다; 서명하다
intolerable|참을 수 없는, 견딜 수 없는
utter|(입 밖에) 내다; 완전한, 전적인
sovereign|주권이 있는; 최고 권력의; 통치자
disposal|처리; 처분
superb|매우 뛰어난, 멋진
dissolve|녹다[녹이다]; 해산하다
magnitude|거대함; 중요함, 중대성
interaction|상호 작용, 상호 영향
innate|타고난, 선천적인
outward|표면상의, 외형의; 밖으로 향하는
transmit|전송하다; 전염시키다; 전도하다
surpass|능가하다, 뛰어넘다
insult|모욕(하다), 창피를 주다
outlook|전망; 경치; 견해
inevitable|피할 수 없는, 불가피한
outcome|결과, 성과
posterity|자손, 후세
overthrow|(지도자·정부를) 전복시키다; 타도, 전복
transcript|글로 옮긴 기록, 베낀 것; 성적 증명서
insight|통찰력
intake|섭취(량)
overflow|넘쳐 흐르다; 가득 차다; 넘침, 초과됨
transform|변형시키다, 변화시키다
overlook|간과하다; 못 본 체하다; 내려다보다
interchange|교환(하다); 교차점, 분기점
outgoing|외향적인, 사교적인
preoccupied|사로잡힌, 정신이 팔린
disorder|혼란, 무질서; (심신의) 이상, 장애
overwhelm|압도하다; 당황하게 하다
suppress|진압하다; 억제하다, 참다
superficial|표면상의, 외면의; 피상적인
subconscious|잠재 의식(의)
outline|개요(를 서술하다); 윤곽(을 나타내다)
outlet|배출구; 직판점; [전기] 콘센트
invade|침략하다, 침입하다; 침해하다
interfere|간섭하다; 방해하다
masterpiece|걸작, 대표작
outdo|~보다 뛰어나다, 능가하다
intermission|(연극·영화 등의) 휴식 시간
overtake|따라잡다, 추월하다; 덮치다
majestic|위엄 있는, 장엄한
subordinate|부차적인; 하급자; 하위에 두다
interpret|통역하다; 이해하다; 설명하다
supreme|최고의, 최상의
transplant|옮겨 심다; 이식(하다)
intact|온전한, 손상되지 않은
interval|간격, 사이; 중간 휴식 시간
outstanding|뛰어난, 두드러진
postpone|연기하다, 늦추다
utmost|최대의, 극도의; 최대한도
discourage|용기를 잃게 하다, 낙담시키다; 단념시키다
infect|감염시키다; 오염시키다
instinct|본능, 본성
transaction|거래, 매매
persuade|설득하다; 납득시키다
prevail|만연하다; 승리하다, 우세하다
